date;casConfirmes;hospitalises;gueris;reanimation;deces;casEhpad;casConfirmesEhpad;decesEhpad;delta_casConfirmes;delta_hospitalises;delta_gueris;delta_reanimation;delta_deces;delta_casEhpad;delta_casConfirmesEhpad;delta_decesEhpad
2020-01-24;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-27;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-28;4;4;0;1;0;0;0;0;1;1;0;1;0;0;0;0
2020-01-29;5;5;0;2;0;0;0;0;1;1;0;1;0;0;0;0
2020-01-30;6;6;0;2;0;0;0;0;1;1;0;0;0;0;0;0
2020-01-31;6;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-02;6;6;0;1;0;0;0;0;0;0;0;-1;0;0;0;0
2020-02-03;6;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04;6;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-05;6;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-07;6;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-08;11;11;0;1;0;0;0;0;5;5;0;0;0;0;0;0
2020-02-09;11;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-10;11;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-12;11;9;2;1;0;0;0;0;0;-2;2;0;0;0;0;0
2020-02-13;11;8;3;1;0;0;0;0;0;-1;1;0;0;0;0;0
2020-02-15;12;7;4;0;1;0;0;0;1;-1;1;-1;1;0;0;0
2020-02-17;12;0;0;0;1;0;0;0;0;-7;-4;0;0;0;0;0
2020-02-19;12;4;7;0;1;0;0;0;0;4;7;0;0;0;0;0
2020-02-21;12;1;10;0;1;0;0;0;0;-3;3;0;0;0;0;0
2020-02-23;12;1;10;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-24;12;0;11;0;1;0;0;0;0;-1;1;0;0;0;0;0
2020-02-25;14;2;11;0;1;0;0;0;2;2;0;0;0;0;0;0
2020-02-26;18;4;12;0;2;0;0;0;4;2;1;0;1;0;0;0
2020-02-27;38;24;12;2;2;0;0;0;20;20;0;2;0;0;0;0
2020-02-28;57;0;0;0;2;0;0;0;19;-24;-12;-2;0;0;0;0
2020-02-29;100;86;12;9;2;0;0;0;43;86;12;9;0;0;0;0
2020-03-01;130;116;12;9;2;0;0;0;30;30;0;0;0;0;0;0
2020-03-02;191;0;0;0;3;0;0;0;61;-116;-12;-9;1;0;0;0
2020-03-03;212;0;12;0;4;0;0;0;21;0;12;0;1;0;0;0
2020-03-04;285;0;0;15;4;0;0;0;73;0;-12;15;0;0;0;0
2020-03-05;423;0;0;23;7;0;0;0;138;0;0;8;3;0;0;0
2020-03-06;613;0;0;39;9;0;0;0;190;0;0;16;2;0;0;0
2020-03-07;949;0;0;45;16;0;0;0;336;0;0;6;7;0;0;0
2020-03-09;1412;0;0;66;25;0;0;0;463;0;0;21;9;0;0;0
2020-03-10;1784;0;0;86;33;0;0;0;372;0;0;20;8;0;0;0
2020-03-11;2281;0;0;105;48;0;0;0;497;0;0;19;15;0;0;0
2020-03-12;2876;0;0;129;61;0;0;0;595;0;0;24;13;0;0;0
2020-03-14;4500;0;0;300;91;0;0;0;1624;0;0;171;30;0;0;0
2020-03-15;5423;400;0;0;127;0;0;0;923;400;0;-300;36;0;0;0
2020-03-17;7730;2579;602;699;175;0;0;0;2307;2179;602;699;48;0;0;0
2020-03-18;9134;3626;1000;931;264;0;0;0;1404;1047;398;232;89;0;0;0
2020-03-19;10995;4461;1300;1122;372;0;0;0;1861;835;300;191;108;0;0;0
2020-03-20;12612;5226;1587;1297;450;0;0;0;1617;765;287;175;78;0;0;0
2020-03-21;14459;6172;0;1525;562;0;0;0;1847;946;-1587;228;112;0;0;0
2020-03-22;16689;7240;2200;1746;674;0;0;0;2230;1068;2200;221;112;0;0;0
2020-03-23;19856;8675;0;2082;860;0;0;0;3167;1435;-2200;336;186;0;0;0
2020-03-24;22302;10176;3281;2516;1100;0;0;0;2446;1501;3281;434;240;0;0;0
2020-03-25;25233;11539;3900;2827;1331;0;0;0;2931;1363;619;311;231;0;0;0
2020-03-26;29155;13904;4948;3375;1696;0;0;0;3922;2365;1048;548;365;0;0;0
2020-03-27;32964;15732;0;3787;1995;0;0;0;3809;1828;-4948;412;299;0;0;0
2020-03-28;37575;17620;0;4273;2314;0;0;0;4611;1888;0;486;319;0;0;0
2020-03-29;40174;19354;0;4632;2606;0;0;0;2599;1734;0;359;292;0;0;0
2020-03-30;44550;21008;7924;5107;3024;0;0;0;4376;1654;7924;475;418;0;0;0
2020-03-31;52128;22757;9444;5565;3523;0;0;0;7578;1749;1520;458;499;0;0;0
2020-04-01;56989;24639;10935;6017;4032;0;0;371;4861;1882;1491;452;509;0;0;371
2020-04-02;59105;26246;12428;6399;4503;0;0;884;2116;1607;1493;382;471;0;0;513
2020-04-03;64338;27432;14008;6662;5091;0;0;1416;5233;1186;1580;263;588;0;0;532
2020-04-04;68605;28143;15438;6838;5532;0;0;2028;4267;711;1430;176;441;0;0;612
2020-04-05;70478;28891;16183;6978;5889;0;0;2189;1873;748;745;140;357;0;0;161
2020-04-06;74390;29722;17250;7072;6494;0;0;2417;3912;831;1067;94;605;0;0;228
2020-04-07;78167;30027;19337;7131;7091;0;0;3237;3777;305;2087;59;597;0;0;820
2020-04-08;82048;30375;21254;7148;7632;0;0;3237;3881;348;1917;17;541;0;0;0
2020-04-09;86334;30767;23206;7066;8044;0;0;4166;4286;392;1952;-82;412;0;0;929
2020-04-10;90676;31267;24932;7004;8598;0;0;4599;4342;500;1726;-62;554;0;0;433
2020-04-11;93790;31320;26391;6883;8943;0;0;4889;3114;53;1459;-121;345;0;0;290
2020-04-12;95403;31826;27186;6845;9253;37188;11958;5140;1613;506;795;-38;310;37188;11958;251
2020-04-13;98076;32113;27718;6821;9588;38703;12481;5379;2673;287;532;-24;335;1515;523;239
2020-04-14;103573;32292;28805;6730;10129;39730;13050;5600;5497;179;1087;-91;541;1027;569;221
2020-04-15;106206;31779;30995;6457;10643;41657;14393;6524;2633;-513;2190;-273;514;1927;1343;924
2020-04-16;108847;31305;32812;6248;11060;56180;18967;6860;2641;-474;1817;-209;417;14523;4574;336
2020-04-17;109252;31190;34420;6027;11478;58989;20272;7203;405;-115;1608;-221;418;2809;1305;343
2020-04-18;111821;30639;35983;5833;11842;62135;22163;7481;2569;-551;1563;-194;364;3146;1891;278
2020-04-19;112606;30610;36578;5744;12069;63336;23048;7649;785;-29;595;-89;227;1201;885;168
2020-04-20;114657;30584;37409;5683;12513;64117;23668;7752;2051;-26;831;-61;444;781;620;103
2020-04-21;117324;30106;39181;5433;12900;0;0;7896;2667;-478;1772;-250;387;-64117;-23668;144
2020-04-22;119151;29741;40657;5218;13236;0;25513;8104;1827;-365;1476;-215;336;0;25513;208
2020-04-23;120804;29219;42088;5053;13547;64219;26840;8309;1653;-522;1431;-165;311;64219;1327;205
2020-04-24;122577;28658;43493;4870;13852;65131;27880;8393;1773;-561;1405;-183;305;912;1040;84
2020-04-25;124114;28222;44594;4725;14050;66500;29126;8564;1537;-436;1101;-145;198;1369;1246;171
2020-04-26;124575;28217;44903;4682;14202;67168;29643;8654;461;-5;309;-43;152;668;517;90
2020-04-27;128339;28055;45513;4608;14497;67730;30227;8796;3764;-162;610;-74;295;562;584;142
2020-04-28;129859;27484;46886;4387;14810;69893;30817;8850;1520;-571;1373;-221;313;2163;590;54
2020-04-29;128442;26834;48228;4207;15053;69773;31795;9034;-1417;-650;1342;-180;243;-120;978;184
2020-04-30;129581;26283;49476;4019;15244;69952;32355;9132;1139;-551;1248;-188;191;179;560;98
2020-05-01;130185;25887;50212;3878;15369;69952;32791;9225;604;-396;736;-141;125;0;436;93
2020-05-02;130979;25827;50562;3827;15487;70688;33271;9273;794;-60;350;-51;118;736;480;48
2020-05-03;131287;25815;50784;3819;15583;70767;33361;9312;308;-12;222;-8;96;79;90;39
2020-05-04;131863;25548;51371;3696;15826;71390;33791;9375;576;-267;587;-123;243;623;430;63
2020-05-05;132967;24775;52736;3430;16060;71692;34108;9471;1104;-773;1365;-266;234;302;317;96
2020-05-06;137150;23983;53972;3147;16237;71548;34507;9572;4183;-792;1236;-283;177;-144;399;101
2020-05-07;137779;23208;55027;2961;16386;71665;34653;9601;629;-775;1055;-186;149;117;146;29
2020-05-08;138421;22724;55782;2868;16497;72548;34890;9733;642;-484;755;-93;111;883;237;132
2020-05-09;138854;22614;56038;2812;16573;72850;35046;9737;433;-110;256;-56;76;302;156;4
2020-05-10;139063;22569;56217;2776;16642;73143;35236;9738;209;-45;179;-36;69;293;190;1
2020-05-11;139519;22284;56724;2712;16820;73099;35195;9823;456;-285;507;-64;178;-44;-41;85
2020-05-12;140227;21595;57785;2542;17003;73435;35437;9988;708;-689;1061;-170;183;336;242;165
2020-05-13;140734;21071;58673;2428;17101;72930;35604;9973;507;-524;888;-114;98;-505;167;-15
2020-05-14;141356;20463;59605;2299;17224;73334;35820;10201;622;-608;932;-129;123;404;216;228
2020-05-15;141919;19861;60448;2203;17342;73713;36126;10187;563;-602;843;-96;118;379;306;-14
2020-05-16;142291;19432;61066;2132;17412;73249;36175;10213;372;-429;618;-71;70;-464;49;26
2020-05-17;142411;19361;61213;2087;17466;73619;36461;10642;120;-71;147;-45;54;370;286;429
2020-05-18;142903;19015;61728;1998;17589;73623;36599;10650;492;-346;515;-89;123;4;138;8
